[main] Node 4  gradient=2  starting
[I][transport] Node 4: send->broker:7000  recv<-port:7104
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=70.3 S=56.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=70.9 S=53.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=69.6 S=53.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=71.3 S=56.4
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=70.0 S=56.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=69.6 S=55.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=70.4 S=56.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=70.0 S=55.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=70.8 S=55.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.0 H=70.4 S=54.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.0 H=71.2 S=54.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=70.8 S=53.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.0 H=69.6 S=54.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=71.2 S=53.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=70.0 S=53.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=69.6 S=56.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=70.4 S=57.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=71.1 S=54.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=69.9 S=54.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.0 H=69.5 S=53.4
[I][gradient_mesh] Node 4 → 0x0002  T=23.9 H=70.3 S=53.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.0 H=69.9 S=56.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.0 H=70.7 S=53.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=70.4 S=56.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.1 H=71.2 S=56.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=70.2 S=53.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=71.0 S=54.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=70.6 S=53.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=69.4 S=53.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=71.1 S=56.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=69.9 S=56.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=69.6 S=56.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=70.4 S=56.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=71.1 S=53.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=69.9 S=53.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=69.6 S=56.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=70.4 S=53.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=70.1 S=56.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=70.9 S=56.4
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=70.6 S=55.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=71.4 S=55.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=71.1 S=54.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=70.0 S=55.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=71.7 S=54.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=70.5 S=54.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=70.2 S=53.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=71.0 S=53.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=70.7 S=57.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.6 S=53.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=70.3 S=54.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=71.1 S=54.7
[I][gradient_mesh] Node 4 → 0x0002  T=26.7 H=74.2 S=56.2
[I][gradient_mesh] Node 4 → 0x0002  T=26.7 H=73.7 S=55.3
[I][gradient_mesh] Node 4 → 0x0002  T=26.7 H=74.5 S=55.6
[I][gradient_mesh] Node 4 → 0x0002  T=26.4 H=75.0 S=56.7
[I][gradient_mesh] Node 4 → 0x0002  T=26.4 H=73.8 S=57.0
[I][gradient_mesh] Node 4 → 0x0002  T=26.4 H=75.3 S=56.0
[I][gradient_mesh] Node 4 → 0x0002  T=26.3 H=74.1 S=56.4
[I][gradient_mesh] Node 4 → 0x0002  T=26.4 H=73.6 S=55.4
[I][gradient_mesh] Node 4 → 0x0002  T=26.3 H=74.3 S=55.7
[I][gradient_mesh] Node 4 → 0x0002  T=26.4 H=73.9 S=54.8
[I][gradient_mesh] Node 4 → 0x0002  T=26.3 H=74.6 S=55.1
[I][gradient_mesh] Node 4 → 0x0002  T=26.4 H=74.2 S=54.2
[I][gradient_mesh] Node 4 → 0x0002  T=26.3 H=72.9 S=54.5
[I][gradient_mesh] Node 4 → 0x0002  T=25.7 H=74.5 S=53.5
[I][gradient_mesh] Node 4 → 0x0002  T=26.3 H=73.2 S=53.9
[I][gradient_mesh] Node 4 → 0x0002  T=25.7 H=72.8 S=56.9
[I][gradient_mesh] Node 4 → 0x0002  T=25.7 H=72.8 S=55.6
[I][gradient_mesh] Node 4 → 0x0002  T=25.7 H=74.4 S=54.6
[I][gradient_mesh] Node 4 → 0x0002  T=25.7 H=73.1 S=54.9
[I][gradient_mesh] Node 4 → 0x0002  T=26.0 H=73.7 S=56.0
[I][gradient_mesh] Node 4 → 0x0002  T=25.9 H=72.4 S=56.3
[I][gradient_mesh] Node 4 → 0x0002  T=26.0 H=73.9 S=55.4
[I][gradient_mesh] Node 4 → 0x0002  T=25.9 H=72.6 S=55.7
[I][gradient_mesh] Node 4 → 0x0002  T=25.4 H=72.2 S=54.8
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=72.9 S=55.1
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=72.5 S=54.1
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=73.2 S=54.4
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=72.8 S=53.5
[I][gradient_mesh] Node 4 → 0x0002  T=25.2 H=73.5 S=53.8
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=73.1 S=56.9
[I][gradient_mesh] Node 4 → 0x0002  T=25.2 H=71.8 S=53.2
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=73.4 S=56.2
[I][gradient_mesh] Node 4 → 0x0002  T=25.2 H=72.1 S=56.6
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=71.6 S=55.6
[I][gradient_mesh] Node 4 → 0x0002  T=25.2 H=72.3 S=55.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=72.9 S=53.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.6 S=53.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.2 S=56.4
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.9 S=56.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.5 S=55.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=72.2 S=56.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.8 S=55.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=72.5 S=55.4
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=72.1 S=54.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=70.8 S=54.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=72.4 S=53.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=71.1 S=54.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=70.7 S=53.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=72.2 S=53.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=70.9 S=53.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.6 H=70.5 S=56.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.5 H=71.3 S=57.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.9 H=71.9 S=54.0
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=70.6 S=54.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=70.2 S=53.4
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=70.9 S=53.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=70.5 S=56.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=71.3 S=53.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=70.9 S=56.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.3 H=71.6 S=56.5
